2026-02-01 12:35:07 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:07 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:07 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1307
2026-02-01 12:35:07 | 192.168.0.113 -> 23.11.215.219 | TCP | Size: 55
2026-02-01 12:35:07 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:07 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:07 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 412
2026-02-01 12:35:07 | 23.11.215.219 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:07 | 192.168.0.113 -> 20.249.168.121 | TCP | Size: 104
2026-02-01 12:35:07 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:08 | 192.168.0.113 -> 13.107.5.93 | TCP | Size: 55
2026-02-01 12:35:08 | 20.249.168.121 -> 192.168.0.113 | TCP | Size: 93
2026-02-01 12:35:08 | 13.107.5.93 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:08 | 192.168.0.113 -> 20.249.168.121 | TCP | Size: 54
2026-02-01 12:35:08 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 179
2026-02-01 12:35:08 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 976
2026-02-01 12:35:08 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:08 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 118
2026-02-01 12:35:08 | 192.168.0.116 -> 239.255.255.250 | UDP | Size: 167
2026-02-01 12:35:08 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 133
2026-02-01 12:35:08 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 133
2026-02-01 12:35:08 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 915
2026-02-01 12:35:08 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 273
